"","Codice","Territorio","Variable","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2009","X2008","X2010"
"55","'005","Isole","IMP",10637184.32,18328484.72,17020622.2,15791431.31,16424820.54,18523104.34,25215766.98,23062480.98,24709792.01,NA,NA,NA
"56","'006","Italia","IMP",207015167.5,258506604.6,263756567.2,261225870.2,262997973.8,285634441.6,309292049,352464682.6,373339814,NA,NA,NA
"57","'010","Piemonte","EXP",26276154.89,29786771.4,30682284.33,29800854.5,30077731.47,31257383.66,32017150.02,34908875.41,37274540.73,NA,NA,NA
"58","'020","Valle D'Aosta","EXP",286394.334,395608.257,390985.013,367403.182,397962.612,474812.327,493316.157,589014.777,875526.316,NA,NA,NA
"59","'030","Lombardia","EXP",63232258.12,73455207.08,78391475.41,75718490.14,75994549.92,79202295.81,85315438.06,93257942.01,102083476.4,NA,NA,NA
"60","'070","Liguria","EXP",2819170.277,3478661.809,4041885.301,3643868.335,3661227.095,3600567.311,4232608.099,4209852.875,4724819.726,NA,NA,NA
"61","'040","Trentino Alto Adige","EXP",3877479.051,4324314.677,4451697.346,4488605.563,4707146.938,4976900.853,5207850.759,5688286.428,6183315.555,NA,NA,NA
"62","'021","Bolzano - Bozen","EXP",2036695.275,2227151.094,2278388.629,2391375.297,2434047.847,2558444.067,2594887.604,2876578.591,3160576.404,NA,NA,NA
"63","'022","Trento","EXP",1840783.776,2097163.583,2173308.717,2097230.266,2273099.091,2418456.786,2612963.155,2811707.837,3022739.151,NA,NA,NA
"64","'050","Veneto","EXP",32210304.88,37279678.38,39424889.52,39801175.5,38297604.28,40206811.16,40646614.5,46284308.25,50557235.37,NA,NA,NA
"65","'060","Friuli Venezia Giulia","EXP",7640270.108,8936379.575,9306610.644,9092794.377,8325734.513,9886081.042,9643352.627,11074875.44,12413280.83,NA,NA,NA
"66","'080","Emilia Romagna","EXP",26093835.07,29923150.52,31416235.34,31897883.43,31751031.26,34480558.75,37333073.69,41364416.91,46344222.65,NA,NA,NA
"67","'090","Toscana","EXP",17715222.54,21559838.99,22467011.12,21704699.4,20605997.45,21831316.75,21824964.04,24580041.52,26528460.75,NA,NA,NA
"68","'100","Umbria","EXP",1949057.656,2316684.684,2349710.696,2495785.987,2426863.713,2646379.874,2826562.052,3245994.855,3627756.592,NA,NA,NA
"69","'110","Marche","EXP",6368981.307,7524808.128,8378996.134,8533011.021,8832553.55,8957257.314,9524396.21,11555530.88,12458286.3,NA,NA,NA
"70","'120","Lazio","EXP",9710473.347,11921121.09,11109905.38,11821763.46,10583650.27,11157347.35,11076328.6,12234974.84,13477446.92,NA,NA,NA
"71","'130","Abruzzo","EXP",3896311.044,5116681.5,5423824.897,5500789.991,5386861.246,6062594.947,6305542.371,6545506.71,7322893.387,NA,NA,NA
"72","'140","Molise","EXP",483451.323,493528.999,535542.808,550419.195,522170.541,534507.074,607298.67,613816.931,629226.774,NA,NA,NA
"73","'150","Campania","EXP",6549769.636,7785097.85,8450139.012,8024898.206,7003313.529,7250266.337,7579182.021,8392047.821,9444637.027,NA,NA,NA
"74","'160","Puglia","EXP",5093982.26,5947633.576,6229031.595,5839304.267,5738229.772,6420446.214,6780961.858,6877873.368,7191534.741,NA,NA,NA
"75","'170","Basilicata","EXP",1120537.662,1093462.068,1183707.453,1521559.191,1526494.553,1265237.549,1099784.314,1721633.397,2100483.118,NA,NA,NA
"76","'180","Calabria","EXP",230679.432,310665.284,296250.032,290867.206,318004.765,350730.24,318754.972,328985.936,430694.298,NA,NA,NA
"77","'190","Sicilia","EXP",3502432.735,5479937.857,5312760.602,4963722.615,5118222.25,5547064.269,7266995.166,7947923.442,9661073.864,NA,NA,NA
"78","'200","Sardegna","EXP",1572383.09,2444210.131,2280186.08,2131879.475,2462719.756,2834166.235,3808136.906,4336143.408,4725208.295,NA,NA,NA
"79","'001","Nord-Ovest","EXP",92613977.62,107116248.5,113506630.1,109530616.2,110131471.1,114535059.1,122058512.3,132965685.1,144958363.2,NA,NA,NA
"80","'002","Nord-Est","EXP",69821889.12,80463523.15,84599432.85,85280458.87,83081516.99,89550351.8,92830891.57,104411887,115498054.4,NA,NA,NA
"81","'003","Centro","EXP",35743734.85,43322452.89,44305623.33,44555259.87,42449064.99,44592301.29,45252250.9,51616542.09,56091950.56,NA,NA,NA
"82","'004","Sud","EXP",17374731.36,20747069.28,22118495.8,21727838.06,20495074.41,21883782.36,22691524.21,24479864.16,27119469.35,NA,NA,NA
"83","'005","Isole","EXP",5074815.825,7924147.988,7592946.682,7095602.09,7580942.006,8381230.504,11075132.07,12284066.85,14386282.16,NA,NA,NA
"84","'006","Italia","EXP",221040468.9,260413251.1,272989616.9,269063520.4,264615606.4,284413361,299923416.2,332012885,364743919.2,NA,NA,NA
"85","'010","Piemonte","NETIMP-EXP",7454218.574,7717099.168,9145914.494,8665405.488,8486730.286,8333546.489,8510067.191,8186759.562,8015939.679,NA,NA,NA
"86","'020","Valle D'Aosta","NETIMP-EXP",55752.856,49800.109,49262.317,96161.335,-5650.236,53279.251,206012.843,188414.865,336722.113,NA,NA,NA
"87","'030","Lombardia","NETIMP-EXP",-16094942.08,-22706511.37,-20239318.11,-20759140.03,-22262333.09,-26610956.76,-25926096.8,-25845235.23,-22094845.98,NA,NA,NA
"88","'070","Liguria","NETIMP-EXP",-1124583.921,-2567275.616,-2483330.351,-2944836.892,-3649956.037,-3730186.297,-4179828.564,-5047518.817,-4998124.486,NA,NA,NA
"89","'040","Trentino Alto Adige","NETIMP-EXP",252240.231,230451.613,165166.981,-63225.545,96134.96,236700.816,304631.852,353083.138,317359.104,NA,NA,NA
"90","'021","Bolzano - Bozen","NETIMP-EXP",-228705.829,-326150.64,-418265.442,-542685.295,-517710.672,-423890.293,-440188.037,-373737.436,-515671.945,NA,NA,NA
"91","'022","Trento","NETIMP-EXP",480946.06,556602.253,583432.423,479459.75,613845.632,660591.109,744819.889,726820.574,833031.049,NA,NA,NA
"92","'050","Veneto","NETIMP-EXP",9166654.095,8998132.565,10238496.96,9577096.484,8903513.723,8735300.336,7917096.493,9272331.365,10713105.39,NA,NA,NA
"93","'060","Friuli Venezia Giulia","NETIMP-EXP",3934274.382,4142162.764,4394662.654,4503499.42,3838446.32,4883462,4407703.627,5448094.145,5742552.074,NA,NA,NA
"94","'080","Emilia Romagna","NETIMP-EXP",11254044.05,12566234.2,13515481,12641684.37,12345567.77,14239021.67,14849753.32,16043380.84,17416817.52,NA,NA,NA
"95","'090","Toscana","NETIMP-EXP",4870101.914,5039334.165,5372495.118,5840718.557,5465009.691,6245912.576,4954186.589,6022411.651,6681303.528,NA,NA,NA
"96","'100","Umbria","NETIMP-EXP",582912.936,594058.923,677446.727,683305.802,517752.903,512224.934,490361.233,448808.465,745368.276,NA,NA,NA
"97","'110","Marche","NETIMP-EXP",3757538.525,4022345.513,4547283.584,4686893.35,4926042.688,4951210.703,4656867.731,5056458.677,5093545.882,NA,NA,NA
"98","'120","Lazio","NETIMP-EXP",-7579879.869,-9567451.742,-11036787.24,-10716143.18,-11446702.19,-10723469.95,-13693297.81,-14316971.3,-14354829.77,NA,NA,NA
"99","'130","Abruzzo","NETIMP-EXP",610418.123,1149514.728,1537059.713,1574662.486,1617448.07,2359792.184,2632454.669,2507931.586,3070372.13,NA,NA,NA
"100","'140","Molise","NETIMP-EXP",170343.29,155453.316,71057.709,77854.52,221076.3,224980.636,250020.774,211326.135,197190.214,NA,NA,NA
"101","'150","Campania","NETIMP-EXP",227166.556,234735.091,502420.59,271272.545,-902492.55,-915230.827,-721242.848,-1236685.265,-612310.67,NA,NA,NA
"102","'160","Puglia","NETIMP-EXP",1144167.934,1104505.373,1073263.519,870597.455,846795.125,199556.125,-185525.954,-720611.101,-1330790.639,NA,NA,NA
"103","'170","Basilicata","NETIMP-EXP",801727.506,662545.339,698839.906,1118512.378,1068838.458,695441.23,405744.72,683244.602,1033872.51,NA,NA,NA
"104","'180","Calabria","NETIMP-EXP",-152608.888,-139094.534,-214417.29,-198325.291,-232290.019,-195385.963,-293572.644,-275711.743,-315160.036,NA,NA,NA
"105","'190","Sicilia","NETIMP-EXP",-4506863.825,-8356336.754,-7900200.602,-6902478.865,-7208893.128,-8359789.439,-11668725.89,-7881698.898,-7329397.091,NA,NA,NA
"106","'200","Sardegna","NETIMP-EXP",-1055504.67,-2047999.973,-1527474.911,-1793350.354,-1634985.402,-1782084.394,-2471909.012,-2896715.227,-2994112.755,NA,NA,NA
"107","'001","Nord-Ovest","NETIMP-EXP",-9709554.566,-17506887.71,-13527471.65,-14942410.1,-17431209.08,-21954317.32,-21389845.33,-22517579.62,-18740308.67,NA,NA,NA
"108","'002","Nord-Est","NETIMP-EXP",24607212.75,25936981.15,28313807.59,26659054.73,25183662.77,28094484.82,27479185.29,31116889.49,34189834.09,NA,NA,NA
"109","'003","Centro","NETIMP-EXP",1630673.506,88286.859,-439561.814,494774.525,-537896.905,985878.261,-3591882.259,-2789292.508,-1834612.087,NA,NA,NA
"110","'004","Sud","NETIMP-EXP",2801214.521,3167659.313,3668224.147,3714574.093,2619375.384,2369153.385,2087878.717,1169494.214,2043173.509,NA,NA,NA
"111","'005","Isole","NETIMP-EXP",-5562368.495,-10404336.73,-9427675.513,-8695829.219,-8843878.53,-10141873.83,-14140634.91,-10778414.13,-10323509.85,NA,NA,NA
"112","'006","Italia","NETIMP-EXP",14025301.45,1906646.481,9233049.77,7837650.202,1617632.509,-1221080.567,-9368632.881,-20451797.6,-8595894.857,NA,NA,NA
"113","'010","Piemonte","COMP",NA,NA,NA,NA,NA,NA,5.2,7.9,8.1,9.1,NA,NA
"114","'020","Valle D'Aosta","COMP",NA,NA,NA,NA,NA,NA,6.6,5.9,8.5,10.4,NA,NA
"115","'030","Lombardia","COMP",NA,NA,NA,NA,NA,NA,4.8,8.4,9.1,9.3,NA,NA
"116","'070","Liguria","COMP",NA,NA,NA,NA,NA,NA,5.6,6.7,8.3,9.5,NA,NA
"117","'040","Trentino Alto Adige","COMP",NA,NA,NA,NA,NA,NA,5.5,7.8,9.4,10.7,NA,NA
"118","'021","Bolzano - Bozen","COMP",NA,NA,NA,NA,NA,NA,4.7,8.4,9,10.9,NA,NA
"119","'022","Trento","COMP",NA,NA,NA,NA,NA,NA,6.3,7.2,9.7,10.4,NA,NA
"120","'050","Veneto","COMP",NA,NA,NA,NA,NA,NA,6.4,9.3,8.3,9.3,NA,NA
"121","'060","Friuli Venezia Giulia","COMP",NA,NA,NA,NA,NA,NA,3.9,5.9,7.8,10.6,NA,NA
"122","'080","Emilia Romagna","COMP",NA,NA,NA,NA,NA,NA,5.5,8.4,8.4,10.3,NA,NA
"123","'090","Toscana","COMP",NA,NA,NA,NA,NA,NA,5.5,8.6,10.6,11.2,NA,NA
"124","'100","Umbria","COMP",NA,NA,NA,NA,NA,NA,6.2,7.9,7.9,11.1,NA,NA
"125","'110","Marche","COMP",NA,NA,NA,NA,NA,NA,6.1,7.9,7.1,9.2,NA,NA
"126","'120","Lazio","COMP",NA,NA,NA,NA,NA,NA,5.7,6.8,8,9.4,NA,NA
"127","'130","Abruzzo","COMP",NA,NA,NA,NA,NA,NA,6.7,7,8.3,9.7,NA,NA
"128","'140","Molise","COMP",NA,NA,NA,NA,NA,NA,4.4,5.8,8.4,9.6,NA,NA
"129","'150","Campania","COMP",NA,NA,NA,NA,NA,NA,3.7,5.9,7.3,6.8,NA,NA
"130","'160","Puglia","COMP",NA,NA,NA,NA,NA,NA,3.6,6.9,7.5,7.4,NA,NA
"131","'170","Basilicata","COMP",NA,NA,NA,NA,NA,NA,4.1,7.3,8.4,8.6,NA,NA
"132","'180","Calabria","COMP",NA,NA,NA,NA,NA,NA,4,6.6,8.4,9.1,NA,NA
"133","'190","Sicilia","COMP",NA,NA,NA,NA,NA,NA,3.3,6.5,8.6,10.3,NA,NA
"134","'200","Sardegna","COMP",NA,NA,NA,NA,NA,NA,5,7.9,8.5,10.8,NA,NA
"135","'001","Nord-Ovest","COMP",NA,NA,NA,NA,NA,NA,5,8.1,8.7,9.3,NA,NA
"136","'002","Nord-Est","COMP",NA,NA,NA,NA,NA,NA,5.7,8.4,8.4,9.9,NA,NA
"137","'003","Centro","COMP",NA,NA,NA,NA,NA,NA,5.7,7.6,8.7,10,NA,NA
"138","'004","Sud","COMP",NA,NA,NA,NA,NA,NA,4,6.4,7.7,7.7,NA,NA
"139","'005","Isole","COMP",NA,NA,NA,NA,NA,NA,3.7,6.8,8.6,10.5,NA,NA
"140","'006","Italia","COMP",NA,NA,NA,NA,NA,NA,4.9,7.5,8.4,9.3,NA,NA
"141","'010","Piemonte","DEL",4450.64488,4796.858147,4790.106152,4860.675923,5147.203174,4959.846574,5191.131591,5758.013544,5982.617961,NA,NA,NA
"142","'020","Valle D'Aosta","DEL",3109.803079,2478.249185,3085.181665,3335.343411,3632.038,3635.650938,4003.305705,4012.219141,4261.715931,NA,NA,NA
"143","'030","Lombardia","DEL",4897.811736,3940.977026,3935.992677,3999.350246,4488.641815,4802.614694,5142.711895,5529.665848,5802.22471,NA,NA,NA
"144","'070","Liguria","DEL",6011.906537,5834.554365,5579.672544,4878.363924,5482.79487,5695.721127,6087.789853,6722.286927,6882.680175,NA,NA,NA
"145","'040","Trentino Alto Adige","DEL",2941.775206,2435.867799,2426.255759,2662.420726,3220.142199,3139.059521,3223.385131,3145.521007,3264.184778,NA,NA,NA
"146","'021","Bolzano - Bozen","DEL",3177.578474,2614.684685,2584.852668,2945.370724,3292.107441,3017.596674,3028.18435,3000.238065,2905.510792,NA,NA,NA
"147","'022","Trento","DEL",2711.789201,2261.813663,2272.218597,2388.299622,3150.763974,3249.373972,3403.518316,3279.617398,3603.730741,NA,NA,NA
"148","'050","Veneto","DEL",4128.366198,3458.716591,3468.15693,3599.667122,4157.844202,4120.070869,4169.496018,4352.647067,4575.940563,NA,NA,NA
"149","'060","Friuli Venezia Giulia","DEL",3796.227972,3260.071226,3415.620754,3243.697033,3564.854432,3427.101779,3576.052343,3555.318727,3647.89706,NA,NA,NA
"150","'080","Emilia Romagna","DEL",4613.552337,4573.251694,4538.348933,4529.026871,5120.224533,5281.803065,5618.709172,5797.816884,6249.722028,NA,NA,NA
"151","'090","Toscana","DEL",3976.889422,3688.060617,3646.162509,4497.40195,4262.416788,4439.906537,4790.984271,5108.070547,5399.61743,NA,NA,NA
"152","'100","Umbria","DEL",3170.83331,2979.169883,3233.916006,3399.891352,3752.038958,3420.701129,3936.840984,4056.191103,4318.269369,NA,NA,NA
"153","'110","Marche","DEL",2637.44013,2816.044292,2475.283449,2881.053847,3427.812946,3292.226801,3295.129363,3547.448585,3645.00264,NA,NA,NA
"154","'120","Lazio","DEL",5525.548867,5263.402709,5256.073263,5463.495627,5425.78532,4895.394426,5409.773281,5922.734825,6072.084908,NA,NA,NA
"155","'130","Abruzzo","DEL",2651.45852,2725.066345,2647.087843,2867.967865,3466.813589,3558.066632,3764.831092,3869.062186,4056.976578,NA,NA,NA
"156","'140","Molise","DEL",1763.807474,1795.900628,1690.825395,1692.246779,2457.588091,2515.031461,2338.611828,2657.801089,2994.170807,NA,NA,NA
